max_rpm,energy,duration,speed,weight
590,1467,0.353,43.6,8656
5324,14106,0.372,40.0,82464
2300,10281,0.634,25.9,35048
1409,2132,0.219,64.7,20803
245,499,0.289,52.9,3682
251,309,0.177,87.9,3681
175,1479,1.239,12.9,2510
3798,6360,0.217,67.9,59243
1429,2081,0.198,78.7,21004
2070,2822,0.184,78.4,31917
143,193,0.165,89.7,2167
5649,9616,0.214,75.6,88895
3335,4800,0.175,93.5,51918
300,975,0.392,39.9,4589
267,502,0.264,55.3,4073
284,2860,1.417,11.3,4098
448,4144,1.278,10.6,6575
1087,3303,0.437,31.6,15580
729,3966,0.812,19.1,10836
405,1428,0.43,33.4,6249
1435,6370,0.631,25.9,21905
225,2235,1.178,12.6,3451
410,532,0.161,91.8,6271
568,6160,1.446,10.7,8384
796,1148,0.207,76.2,11909
2843,13635,0.63,23.7,43153
280,319,0.154,92.1,4367
949,1244,0.175,90.4,14951
1315,2272,0.21,68.9,20301
153,232,0.199,70.5,2398
1476,15663,1.469,10.5,21539
249,290,0.14,98.6,3897
175,218,0.184,89.0,2579
5396,7092,0.17,90.6,81876
5579,10537,0.237,69.3,87419
3249,8234,0.354,41.0,47257
442,637,0.182,90.4,6585
190,613,0.385,36.2,2930
2014,3242,0.225,60.6,29075
712,3974,0.717,19.0,11190
208,258,0.16,93.0,3223
948,4396,0.607,22.7,13877
155,587,0.497,30.2,2287
4577,7964,0.24,60.2,70135
350,462,0.184,78.8,5504
1844,3410,0.234,65.7,26707
442,1459,0.453,30.9,6770
988,12314,1.567,10.1,15297
1133,1764,0.195,78.1,16977
286,325,0.165,98.7,4121
5648,8027,0.176,82.9,88782
2839,6115,0.32,51.4,41491
5299,7197,0.167,91.3,78924
4385,10578,0.35,46.9,66269
1416,2430,0.237,57.2,20741
5139,10992,0.296,52.9,73665
183,474,0.317,50.3,2827
276,340,0.171,79.8,4305
165,313,0.265,57.4,2387
484,1415,0.413,38.5,7140
606,2011,0.457,33.2,9149
388,3118,1.022,13.4,5781
3495,5748,0.249,62.5,51171
553,1889,0.446,30.7,8075
416,2179,0.684,23.3,6002
1106,1787,0.198,68.8,16712
226,347,0.195,71.3,3471
3117,4110,0.184,77.7,46125
176,367,0.278,55.3,2677
6393,9436,0.182,90.5,94999
2713,3244,0.147,94.3,41025
280,363,0.168,82.7,4351
135,241,0.217,67.2,2043
3300,11088,0.429,37.3,48581
2181,2596,0.151,98.5,31765
2307,7490,0.417,34.7,34641
2633,11773,0.538,28.2,40869
176,413,0.287,49.8,2671
557,3631,0.973,15.1,8129
207,254,0.148,98.1,3146
3979,7151,0.253,63.0,58535
1528,3062,0.271,60.1,22908
473,882,0.229,69.0,7298
176,358,0.271,54.7,2564
431,4242,1.165,12.9,6751
476,745,0.213,65.1,7136
2247,3577,0.211,74.5,34722
1544,3532,0.322,47.5,24222
4289,6619,0.207,78.2,64324
845,3071,0.463,30.4,12685
217,808,0.527,29.9,3193
2224,10249,0.634,24.5,32569
2674,6087,0.329,43.5,39226
1187,1703,0.18,86.2,17973
2757,3584,0.193,84.5,40820
927,2627,0.366,44.5,13803
1022,1873,0.248,63.0,15457
717,881,0.182,74.9,10651
153,601,0.508,31.7,2209
197,936,0.616,25.1,3050
156,170,0.148,97.5,2261
1535,2705,0.214,65.6,24114
447,496,0.141,98.3,6840
954,2584,0.338,40.4,14624
4702,7885,0.215,73.3,69655
340,1276,0.473,30.0,5303
689,1962,0.405,33.5,9959
2646,4776,0.262,56.1,38431
331,1019,0.386,38.8,4894
179,825,0.558,25.1,2702
432,1222,0.405,33.7,6213
258,1844,1.064,13.2,3757
5063,7593,0.212,73.4,75955
3210,6180,0.253,54.3,47206
1599,9138,0.821,18.5,23832
4067,17489,0.548,25.5,60480
3040,18431,0.733,19.2,46392
275,510,0.225,65.1,4149
4194,22123,0.747,18.5,65684
1083,1620,0.18,77.9,16495
3200,30296,1.228,11.8,47081
4641,13633,0.447,32.4,66598
484,595,0.175,90.2,6939
206,294,0.184,74.7,3076
328,2583,0.971,16.6,4878
686,942,0.19,83.9,10633
3335,6597,0.291,54.4,49069
3700,4826,0.167,86.2,57994
134,280,0.249,64.1,2055
999,1588,0.197,71.4,14749
669,675,0.14,99.4,10237
303,1013,0.441,30.9,4768
220,426,0.247,66.2,3196
490,1100,0.28,51.4,7492
5099,52498,1.199,13.6,79984
452,4838,1.267,11.3,7081
989,5616,0.783,20.7,15220
2018,3899,0.237,68.4,31292
568,1005,0.267,61.0,8295
5863,11934,0.251,59.8,89548
5931,55104,1.251,12.9,86337
345,914,0.313,52.2,5355
932,1186,0.155,93.2,13990
440,951,0.322,45.8,6489
412,671,0.236,66.2,6094
155,206,0.18,80.2,2310
1508,2285,0.196,80.6,21710
926,1836,0.242,56.7,14291
162,230,0.173,87.2,2446
411,933,0.307,45.2,5948
4459,5309,0.16,90.0,69846
325,1043,0.451,31.6,5105
228,757,0.455,35.2,3525
916,6690,0.953,14.8,13570
6151,10011,0.195,81.6,94541
333,830,0.334,47.5,5155
1841,7301,0.49,30.6,27731
2653,8864,0.46,30.9,39354
329,379,0.156,91.1,5067
2256,3029,0.175,85.1,34534
568,942,0.226,59.8,8431
1652,2962,0.231,65.4,23730
1617,3677,0.31,52.7,23843
1115,2398,0.309,45.2,16266
187,250,0.165,92.4,2847
3420,22203,0.769,21.3,52502
465,1218,0.337,47.7,7014
285,771,0.391,41.0,4148
155,323,0.291,54.8,2345
1392,2592,0.282,51.2,20180
1980,3698,0.285,56.7,28326
136,834,0.723,22.6,2134
943,1818,0.267,56.2,14827
312,1106,0.458,31.8,4851
1644,7192,0.554,26.6,24955
254,1938,0.916,15.8,3956
2063,2506,0.18,78.6,29847
576,1420,0.317,48.5,9079
5109,8485,0.229,66.4,78073
221,321,0.197,75.5,3425
528,707,0.194,71.1,7594
211,481,0.304,52.3,3117
5170,10505,0.312,44.9,74482
4320,9593,0.316,43.8,61887
365,584,0.227,67.6,5486
1716,3896,0.269,54.5,26443
3161,3935,0.158,86.4,48917
1137,1546,0.164,88.7,17550
1080,4652,0.624,25.4,15881
327,1885,0.689,22.3,5151
183,309,0.219,66.7,2878
4507,11867,0.379,37.1,66891
4579,47007,1.319,11.7,67735
1613,2249,0.18,90.0,23804
495,2101,0.508,30.4,7534
538,704,0.17,93.6,7840
2289,3212,0.202,74.6,34230
4281,6418,0.199,78.6,66864
4413,18320,0.575,28.1,64292
2945,9954,0.509,31.1,42268
1571,3717,0.285,56.9,24650
183,810,0.58,25.5,2779
250,886,0.432,37.5,3763
4324,13506,0.395,38.9,67242
1482,7121,0.661,24.4,21445
135,453,0.478,28.5,2073
203,264,0.191,81.0,2974
1817,9186,0.641,25.0,26810
137,1250,1.116,12.6,2039
242,428,0.232,66.6,3751
1108,1483,0.163,97.8,17112
1906,5542,0.361,39.8,29959
1664,9955,0.712,20.7,25626
315,564,0.248,61.3,4809
2234,2690,0.164,91.6,32434
332,419,0.169,80.6,5059
488,752,0.209,66.0,7142
2457,6365,0.36,38.4,37093
1741,3085,0.243,58.8,25394
3872,22212,0.782,18.2,55441
1701,2654,0.221,71.1,26199
1276,1958,0.202,75.3,18474
194,244,0.163,96.9,2885
579,1859,0.41,33.4,8428
381,3565,1.283,11.7,5644
343,580,0.245,59.1,5194
5835,9733,0.218,73.6,89979
593,831,0.193,81.1,9308
4385,19810,0.587,27.4,65552
1652,4365,0.406,33.6,23621
3058,6094,0.279,56.1,44811
936,2490,0.38,39.8,14288
1315,1571,0.183,87.4,19106
940,2140,0.285,52.6,13734
279,435,0.184,82.0,4292
2141,3744,0.219,62.3,33764
384,553,0.195,79.6,5998
152,426,0.359,39.9,2199
1721,2165,0.16,84.8,24984
261,845,0.395,34.7,3998
5167,11061,0.277,59.1,79221
5730,18980,0.497,29.3,83507
4987,10031,0.305,52.8,71673
583,1946,0.424,38.6,8509
143,548,0.48,34.0,2124
4906,6202,0.166,97.0,75546
713,3418,0.663,24.4,10678
5695,8022,0.178,80.9,87770
5960,6516,0.142,98.6,86734
3708,38492,1.308,11.8,56268
435,664,0.205,72.9,6328
594,1797,0.421,32.8,9021
3844,30284,1.138,13.6,55858
452,1185,0.328,46.3,6909
257,351,0.171,94.2,3881
1191,11299,1.386,11.1,17661
4970,8834,0.242,62.9,77898
2120,4241,0.269,55.1,30448
1249,1528,0.168,88.6,18601
195,1380,0.932,17.6,2925
1528,2212,0.195,71.3,22177
6646,10574,0.208,71.2,96183
231,404,0.22,70.2,3459
1056,1133,0.156,94.8,15193
3946,5325,0.171,84.1,61895
2324,17482,1.042,13.8,36272
2057,4425,0.271,52.4,30566
2051,5294,0.317,45.8,31226
542,1665,0.425,37.9,8161
413,871,0.297,50.6,6307
3132,6915,0.319,44.6,47436
3274,7233,0.3,48.9,47576
4000,3843,0.141,98.1,59451
4984,33273,0.902,18.0,71219
1013,1212,0.158,93.0,14783
926,2247,0.309,53.2,14226
2957,5370,0.22,66.1,45426
1667,2344,0.189,84.7,25427
2148,5660,0.336,42.4,31163
2857,5748,0.282,48.7,44983
4218,8703,0.29,46.9,65031
520,1291,0.35,43.7,7503
587,685,0.155,93.3,8692
187,229,0.175,84.6,2888
1244,7840,0.805,19.8,19209
159,798,0.722,19.7,2301
856,1980,0.297,48.5,12361
1086,7143,0.849,18.9,16709
405,711,0.228,65.7,6135
1390,7657,0.697,22.9,20176
154,304,0.256,57.0,2253
159,1577,1.38,10.6,2314
3336,9043,0.364,38.5,49957
568,964,0.229,70.9,8184
215,467,0.302,53.6,3287
993,1187,0.168,98.0,15427
2767,3245,0.166,88.7,40665
311,926,0.377,42.3,4652
1578,11383,1.046,14.1,22871
178,223,0.173,86.1,2792
168,200,0.174,92.0,2448
1043,1385,0.167,83.9,15987
1122,5580,0.658,21.5,16578
1539,1817,0.145,99.8,24210
2308,7874,0.477,33.3,34248
6197,9554,0.194,75.2,90985
991,1185,0.159,91.7,15073
458,1874,0.529,31.2,7074
3003,3905,0.16,91.7,44877
397,1189,0.376,37.9,5769
729,902,0.157,97.9,11138
176,666,0.45,35.3,2718
143,159,0.143,95.8,2208
6019,43044,1.036,14.8,86405
3460,4671,0.184,73.8,52642
1928,4011,0.26,57.9,30441
678,1361,0.269,53.0,9904
